파일명,지역,서비스,상태
bucheon-drain.html,부천,하수구막힘,PASS
bucheon-sink.html,부천,싱크대막힘,PASS
bucheon-toilet.html,부천,변기막힘,PASS
cheoin-drain.html,처인구,하수구막힘,PASS
cheoin-sink.html,처인구,싱크대막힘,PASS
cheoin-toilet.html,처인구,변기막힘,PASS
cheongwon-drain.html,청원구,하수구막힘,PASS
cheongwon-sink.html,청원구,싱크대막힘,PASS
cheongwon-toilet.html,청원구,변기막힘,PASS
daedeok-drain.html,대덕구,하수구막힘,PASS
daedeok-sink.html,대덕구,싱크대막힘,PASS
daedeok-toilet.html,대덕구,변기막힘,PASS
dalseo-drain.html,달서구,하수구막힘,PASS
dalseo-sink.html,달서구,싱크대막힘,PASS
dalseo-toilet.html,달서구,변기막힘,PASS
danwon-drain.html,단원구,하수구막힘,PASS
danwon-sink.html,단원구,싱크대막힘,PASS
danwon-toilet.html,단원구,변기막힘,PASS
deogyang-drain.html,덕양구,하수구막힘,PASS
deogyang-sink.html,덕양구,싱크대막힘,PASS
deogyang-toilet.html,덕양구,변기막힘,PASS
deokjin-drain.html,덕진구,하수구막힘,PASS
deokjin-sink.html,덕진구,싱크대막힘,PASS
deokjin-toilet.html,덕진구,변기막힘,PASS
dobong-drain.html,도봉구,하수구막힘,PASS
dobong-sink.html,도봉구,싱크대막힘,PASS
dobong-toilet.html,도봉구,변기막힘,PASS
dongan-drain.html,동안구,하수구막힘,PASS
dongan-sink.html,동안구,싱크대막힘,PASS
dongan-toilet.html,동안구,변기막힘,PASS
dongdaemun-drain.html,동대문구,하수구막힘,PASS
dongdaemun-sink.html,동대문구,싱크대막힘,PASS
dongdaemun-toilet.html,동대문구,변기막힘,PASS
dongjak-drain.html,동작구,하수구막힘,PASS
dongjak-sink.html,동작구,싱크대막힘,PASS
dongjak-toilet.html,동작구,변기막힘,PASS
dongnae-drain.html,동래구,하수구막힘,PASS
dongnae-sink.html,동래구,싱크대막힘,PASS
dongnae-toilet.html,동래구,변기막힘,PASS
dongnam-drain.html,동남구,하수구막힘,PASS
dongnam-sink.html,동남구,싱크대막힘,PASS
dongnam-toilet.html,동남구,변기막힘,PASS
eunpyeong-drain.html,은평구,하수구막힘,PASS
eunpyeong-sink.html,은평구,싱크대막힘,PASS
eunpyeong-toilet.html,은평구,변기막힘,PASS
gangbuk-drain.html,강북구,하수구막힘,PASS
gangbuk-sink.html,강북구,싱크대막힘,PASS
gangbuk-toilet.html,강북구,변기막힘,PASS
gangdong-drain.html,강동구,하수구막힘,PASS
gangdong-sink.html,강동구,싱크대막힘,PASS
